"","names","Freq"
"222","Flora Annie Steel",19
"223","Frank V. Webster",19
"224","George Cary Eggleston",19
"225","Hans Christian Andersen",19
"226","Hendrik Conscience",19
"227","J. S. Fletcher",19
"228","Jakob Wassermann",19
"229","Jalmari Finne",19
"230","John Masefield",19
"231","Jonas Lie",19
"232","Madeline Leslie",19
"233","Margaret Penrose",19
"234","May Sinclair",19
"235","Oliver Herford",19
"236","Paul Heyse",19
"237","Richard F. Burton",19
"238","Susan Warner",19
"239","T. W. Speight",19
"240","Various ",19
"241","William J. Locke",19
"242","Zoltán Ambrus",19
"243","Algernon Charles Swinburne",18
"244","Amelia Edith Huddleston Barr",18
"245","B. H. Roberts",18
"246","Charles Darwin",18
"247","Eden Phillpotts",18
"248","Edmond About",18
"249","Edward Bellamy",18
"250","Edward Gibbon",18
"251","F. Anstey",18
"252","Friedrich Nietzsche",18
"253","Harold MacGrath",18
"254","Homer",18
"255","Irvin S. Cobb",18
"256","Joel Chandler Harris",18
"257","John Dryden",18
"258","John Fiske",18
"259","Joseph Sheridan Le Fanu",18
"260","Juan Valera",18
"261","Kasimir Edschmid",18
"262","Keith Laumer",18
"263","Kirk Munroe",18
"264","Lajos Biró",18
"265","Leigh Brackett",18
"266","Mary Hartwell Catherwood",18
"267","Mary Wollstonecraft Shelley",18
"268","Richard Harding Davis",18
"269","Ridgwell Cullum",18
"270","Robert Moore Williams",18
"271","Robert Shaler",18
"272","Robert Sheckley",18
"273","Robert Silverberg",18
"274","Roger Dee",18
"275","S. Baring-Gould",18
"276","Santeri Ivalo",18
"277","Théophile Gautier",18
"278","William MacLeod Raine",18
"279","William Morrison",18
"280","A. L. O. E.",17
"281","Alice B. Emerson",17
"282","Arthur Griffiths",17
"283","Dallas McCord Reynolds",17
"284","Edmond de Goncourt",17
"285","Euripides",17
"286","Evelyn E. Smith",17
"287","George Gordon Byron",17
"288","Harriet Martineau",17
"289","Hector Malot",17
"290","Henry Van Dyke",17
"291","Honoré de Balzac",17
"292","Immanuel Kant",17
"293","Irving Bacheller",17
"294","J. M. Barrie",17
"295","James Whitcomb Riley",17
"296","Lester Chadwick",17
"297","Molly Elliot Seawell",17
"298","Mrs Molesworth",17
"299","Mrs. George de Horne Vaizey",17
"300","National Park Service",17
"301","Ouida",17
"302","Poul Anderson",17
"303","Ray Bradbury",17
"304","Richard Barnum",17
"305","Robert Kerr",17
"306","Shoghi Effendi",17
"307","Sir Walter Scott",17
"308","Ambrose Bierce",16
"309","Archer Butler Hulbert",16
"310","Cyriel Buysse",16
"311","D. H. Lawrence",16
"312","Edmondo De Amicis",16
"313","Elbert Hubbard",16
"314","F. Hopkinson Smith",16
"315","Frank Belknap Long",16
"316","George Barr McCutcheon",16
"317","George Gibbs",16
"318","Gertrude Atherton",16
"319","Guy Boothby",16
"320","Gyula Krúdy",16
"321","Henry Kuttner",16
"322","Ilmari Kianto",16
"323","James George Frazer",16
"324","John Dewey",16
"325","John Lord",16
"326","Kate Douglas Wiggin",16
"327","Lafcadio Hearn",16
"328","Mary Johnston",16
"329","Maurice Leblanc",16
"330","Nathaniel Hawthorne",16
"331","Nell Speed",16
"332","Richard Dowling",16
"333","Santeri Alkio",16
"334","Talbot Baines Reed",16
"335","Thomas W. Knox",16
"336","Aesop",15
"337","Alfredo Panzini",15
"338","Annie Besant",15
"339","Coningsby Dawson",15
"340","Cyrus Townsend Brady",15
"341","E. Werner",15
"342","Edith Lavell",15
"343","Edmond Rostand",15
"344","Edwin L. Sabin",15
"345","Elinor Glyn",15
"346","Gerolamo Rovetta",15
"347","Howard Pyle",15
"348","Hugh Walpole",15
"349","Jean Webster",15
"350","Jessie Graham Flower",15
"351","John Addington Symonds",15
"352","John Burroughs",15
"353","John Habberton",15
"354","John Stuart Mill",15
"355","John T. McIntyre",15
"356","Knut Hamsun",15
"357","L.T. Meade",15
"358","Leo Tolstoi",15
"359","Louisa May Alcott",15
"360","Louise Imogen Guiney",15
"361","Luigi Pirandello",15
"362","Luis Senarens",15
"363","Marion Harland",15
"364","Mary E. Wilkins Freeman",15
"365","Minna Canth",15
"366","Randall Garrett",15
"367","Richard Jefferies",15
"368","Sara Ware Bassett",15
"369","Theodolinda Hahnsson",15
"370","Thomas Hoover",15
"371","Thomas Jefferson",15
"372","Thomas Mann",15
"373","Vicente Blasco Ibanez",15
"374","W. H. G. Kingston",15
"375","Wilhelm Hauff",15
"376","Wilhelm Raabe",15
"377","William Dean Howells",15
"378","William H. G. Kingston",15
