"","names","Freq"
"4888","Harry Walton",2
"4889","Hayden Carruth",2
"4890","Hazard Stevens",2
"4891","Headon Hill",2
"4892","Hector Bernier",2
"4893","Heinrich Hoffmann",2
"4894","Helen C. Black",2
"4895","Helen Churchill Candee",2
"4896","Helen Davenport Gibbons",2
"4897","Helen Fuller Orton",2
"4898","Helen Hay",2
"4899","Helen Kinne",2
"4900","Helen M. Persons",2
"4901","Helen M. Winslow",2
"4902","Helen Parry Eden",2
"4903","Helen Randolph",2
"4904","Helen Wells",2
"4905","Helene Böhlau",2
"4906","Hendrik Willem van Loon",2
"4907","Henri Ardel",2
"4908","Henri Beyle",2
"4909","Henri Bouchot",2
"4910","Henri Conscience",2
"4911","Henri Mouhot",2
"4912","Henrietta Christian Wright",2
"4913","Henrietta de Quigini Puliga",2
"4914","Henriette Hanke",2
"4915","Henrik af Trolle",2
"4916","Henrik Pontoppidan",2
"4917","Henrik Wergeland",2
"4918","Henrique Ernesto d'Almeida Coutinho",2
"4919","Henry (Heinrich) Schliemann",2
"4920","Henry A. Shute",2
"4921","Henry Adams",2
"4922","Henry Alford",2
"4923","Henry Arthur Bright",2
"4924","Henry Arthur Jones",2
"4925","Henry B. (Henry Benjamin) Wheatley",2
"4926","Henry Beam Piper and John Joseph McGuire",2
"4927","Henry Beston",2
"4928","Henry Borel",2
"4929","Henry Bryan Binns",2
"4930","Henry C. Lahee",2
"4931","Henry Childs Merwin",2
"4932","Henry Clay Trumbull",2
"4933","Henry D. Inglis",2
"4934","Henry Dircks",2
"4935","Henry Eduard Legler",2
"4936","Henry Ernest Dudeney",2
"4937","Henry Festing Jones",2
"4938","Henry Ford",2
"4939","Henry Fuseli",2
"4940","Henry Glassford Bell",2
"4941","Henry H. Saylor",2
"4942","Henry Harland, AKA Sidney Luska",2
"4943","Henry Harrison Lewis",2
"4944","Henry Hart Milman",2
"4945","Henry Herbert Goddard",2
"4946","Henry Inman",2
"4947","Henry Kingsley",2
"4948","Henry Kitchell Webster",2
"4949","Henry L. Mencken",2
"4950","Henry Lawson",2
"4951","Henry Leach",2
"4952","Henry Mackenzie",2
"4953","Henry Maxwell Dempsey",2
"4954","Henry Milner Rideout",2
"4955","Henry Morford",2
"4956","Henry Morton Stanley",2
"4957","Henry N. Ogden",2
"4958","Henry O. Forbes",2
"4959","Henry Osborn Taylor",2
"4960","Henry Parker",2
"4961","Henry Rider Haggard",2
"4962","Henry Ridgely Evans",2
"4963","Henry Rogers",2
"4964","Henry St. John Cooper",2
"4965","Henry Still",2
"4966","Henry Taylor",2
"4967","Henry V. Boynton",2
"4968","Henry Vizetelly",2
"4969","Henry W. Chandler",2
"4970","Henry W. Fischer",2
"4971","Henry W. Longfellow",2
"4972","Henry W. Nevinson",2
"4973","Henry Wilton Thomas",2
"4974","Herbert Ernest Cushman",2
"4975","Herbert Francis Peyser",2
"4976","Herbert George Jenkins",2
"4977","Herbert Newton Casson",2
"4978","Herbert Snow",2
"4979","Herbert Winslow Collingwood",2
"4980","Herman Heijermans",2
"4981","Herman Landon",2
"4982","Hermann Hagedorn",2
"4983","Hilda T. Skae",2
"4984","Hildebrand",2
"4985","Hippolyte Mazier du Heaume",2
"4986","Hippolytus",2
"4987","Hiram Bingham",2
"4988","Hiram Corson",2
"4989","history of life and mankind. H.",2
"4990","Holman F. Day",2
"4991","Homer Randall",2
"4992","Hong Ge",2
"4993","Honore Willsie",2
"4994","Hopkins Moorhouse",2
"4995","Horace",2
"4996","Horace E. Scudder",2
"4997","Horace Greeley",2
"4998","Horacio Quiroga",2
"4999","Horatio Alger, Jr",2
"5000","Horatio Nelson",2
"5001","Howard B. Famous",2
"5002","Howard C. Hillegas",2
"5003","Howard Pease",2
"5004","Howard Phillips Lovecraft",2
"5005","Howard Williams",2
"5006","Huan Ma",2
"5007","Huayangsanren",2
"5008","Hubert E. Collins",2
"5009","Hubert H. Harrison",2
"5010","Hudson Hastings",2
"5011","Hudson Maxim",2
"5012","Hudson Stuck",2
"5013","Hugh Lofting",2
"5014","Hugh Noel Williams",2
"5015","Hugh S. Eayrs",2
"5016","Hugo B. Froehlich",2
"5017","Hugo Erichsen",2
"5018","Hugó Ignotus",2
"5019","Hugo Oertel",2
"5020","Hugues Le Roux",2
"5021","Hugues Rebell",2
"5022","Humboldt, Alexander von",2
"5023","Humphrey Davy",2
"5024","Hypatia Bradlaugh Bonner and J. M. (John Mackinnon) Robertson",2
"5025","Hypolite Taine",2
"5026","I saw? Lionel Reid, artist:",2
"5027","I. Lilias Trotter",2
"5028","I. T. Thurston",2
"5029","I. William Adams",2
"5030","I.B. Pole Evans",2
"5031","Ian Hamilton",2
"5032","Ian MacLaren",2
"5033","Ida Frohnmeyer",2
"5034","Ida Hahn-Hahn",2
"5035","Ida Lee Cary",2
"5036","Ida May Hill Starr",2
"5037","Iginio Ugo Tarchetti",2
"5038","Ignácz Kúnos",2
"5039","Imbert de Saint-Amand",2
"5040","Ines Castellani Fantoni Benaglio",2
"5041","installment 12. Winston Spencer",2
"5042","installment 15. Winston Spencer",2
"5043","installment 16. Winston Spencer",2
"5044","installment 17. Winston Spencer",2
"5045","installment 18. Winston Spencer",2
"5046","installment 19. Winston Spencer",2
"5047","installment 20. Winston Spencer",2
"5048","installment 21. Winston Spencer",2
"5049","installment 22. Winston Spencer",2
"5050","installment 29. Winston Spencer",2
"5051","installment 30. Winston Spencer",2
"5052","International Military Tribunal",2
"5053","Ioannis Polemis",2
"5054","Ioannis Psycharis",2
"5055","Ioannis Vilaras",2
"5056","Irene Mendelin",2
"5057","Irvin S. (Irvin Shrewsbury) Cobb",2
"5058","Irving Sidney Dix",2
"5059","is Bundle of Tricks. Edith K.",2
"5060","Isaac Frederick Marcosson",2
"5061","Isaac Israel Hayes",2
"5062","Isaac Taylor",2
"5063","Isabel Burton",2
"5064","Isabel C. Byrum",2
"5065","Isabel Ecclestone Mackay",2
"5066","Ivan Aleksandrovich Goncharov",2
"5067","Ivan Tourgueneff",2
"5068","Ivan Turgenieff",2
"5069","Ivor Gurney",2
"5070","Iwan Bloch",2
"5071","Iwan Goll",2
"5072","Iwan Turgenjeff",2
"5073","J.-B. Caouette",2
"5074","J.-C.-L. Simonde (Jean-Charles-Léonard Simonde) de Sismondi",2
"5075","J.-H. Rosny",2
"5076","J. (Jane) E. (Ellen) Panton",2
"5077","J. A. Giles",2
"5078","J. A. Harvie-Brown",2
"5079","J. A. Mitchell",2
"5080","J. Allan Dunn",2
"5081","J. Arthur Thomson",2
"5082","J. B. Lightfoot",2
"5083","J. C. Hutcheson",2
"5084","J. C. Squire",2
"5085","J. Castell Hopkins",2
"5086","J. Charles Cox",2
"5087","J. Conway Walter",2
"5088","J. D. Kestell",2
"5089","J. Dermout",2
"5090","J. Emerson Tennent",2
"5091","J. Endell Tyler",2
"5092","J. F. A. McNair",2
"5093","J. G. Bartholomew",2
"5094","J. G. Francis",2
"5095","J. G. Holland",2
"5096","J. H. Fabre",2
"5097","J. H. Ward",2
"5098","J. Hammond Trumbull",2
"5099","J. Henry Quinn",2
"5100","J. Howard Moore",2
"5101","J. J. (Jean Jules) Jusserand",2
"5102","J. J. Cremer",2
"5103","J. J. Grandville",2
"5104","J. J. Jusserand",2
"5105","J. L. Runeberg",2
"5106","J. L. Spalding",2
"5107","J. Macgowan",2
"5108","J. P. MacLean",2
"5109","J. P. Mahaffy",2
"5110","J. Paul Hudson",2
"5111","J. R. Miller",2
"5112","J. S. (Joseph Smith) Fletcher",2
"5113","J. Stephen Jeans",2
"5114","J. Traherne Moggridge",2
"5115","J. van den Brand",2
"5116","J. Van Lennep",2
"5117","J. W. Buel",2
"5118","J. W. Calamnius",2
"5119","J. W. von Goethe",2
"5120","J. Walter Fewkes",2
"5121","J. Wardle",2
"5122","J.B. Elwell",2
"5123","J.C. Hutcheson",2
"5124","J.C. Stobart",2
"5125","J.J. Cremer",2
"5126","J.M. Barrie",2
"5127","J.U. Giesy",2
"5128","J.W. Goethe",2
"5129","Jack Douglas",2
"5130","Jack Lewis",2
"5131","Jack McKenty",2
"5132","Jack Snow",2
"5133","Jacob Ahrenberg",2
"5134","Jacob Burckhardt",2
"5135","Jacob Gould Schurman",2
"5136","Jacob Kainen",2
"5137","Jacob Wassermann",2
"5138","Jacobus Pieter Thijsse",2
"5139","Jacques-Émile Blanche",2
"5140","Jacques Cartier",2
"5141","Jacques Cazotte",2
"5142","Jacques Porchat",2
"5143","Jakob Michael Reinhold Lenz",2
"5144","James Albert Frye",2
"5145","James Alexander Henshall",2
"5146","James Beattie",2
"5147","James Bell",2
"5148","James Benjamin Blish",2
"5149","James Bramston",2
"5150","James Brendan Connolly",2
"5151","James Broadbridge",2
"5152","James Cody Ferris",2
"5153","James Cowan",2
"5154","James Croll",2
"5155","James Croston",2
"5156","James Elroy Flecker",2
"5157","James Francis Cooke",2
"5158","James Geikie",2
"5159","James Gillespie Blaine",2
"5160","James Glass Bertram",2
"5161","James Gray",2
"5162","James H. Mapleson",2
"5163","James Harrison",2
"5164","James Harvey Robinson",2
"5165","James Henry Emerton",2
"5166","James Hopper",2
"5167","James Hudson Taylor",2
"5168","James John Hissey",2
"5169","James Johnson",2
"5170","James Johnstone",2
"5171","James Joyce",2
"5172","James Judson Harmon",2
"5173","James Kennedy",2
"5174","James King",2
"5175","James L. Dyson",2
"5176","James L. Ford",2
"5177","James Madison",2
"5178","James Marchant",2
"5179","James Matthew Barrie",2
"5180","James Milne",2
"5181","James Montgomery Beck",2
"5182","James Orton",2
"5183","James P. Boyd",2
"5184","James Peller Malcolm",2
"5185","James S. De Benneville",2
"5186","James S. Findley",2
"5187","James Simson",2
"5188","James Slade",2
"5189","James W. Foley",2
"5190","James Wilson Hyde",2
"5191","James Y. Simpson",2
"5192","Jan Gordon",2
"5193","Jan Kochanowski",2
"5194","Jan ten Brink",2
"5195","Jane Andrews",2
"5196","Jane D. Abbott",2
"5197","Jane Francesca Agnes Wilde",2
"5198","Jane G. Austin",2
"5199","Jane Loudon",2
"5200","Jane Werner, adapter: Campbell",2
"5201","Jane Werner, artist: Walt Disney",2
"5202","Jarl Hemmer",2
"5203","Jarro",2
"5204","Jay B. Drexel",2
"5205","Jean-Baptiste Poquelin",2
"5206","Jean-Baptiste Poquelin Molière",2
"5207","Jean-Paul Marat",2
"5208","Jean-Pierre Claris de Florian",2
"5209","Jean Baptiste Capefigue",2
"5210","Jean Baptiste Poquelin de Moliere",2
"5211","Jean Blewett",2
"5212","Jean C. Archer",2
"5213","Jean de La Brète",2
"5214","Jean de la Fontaine",2
"5215","Jean Héroard",2
"5216","Jean Humbert",2
"5217","Jean Massart",2
"5218","Jean Moréas",2
"5219","Jean Rameau",2
"5220","Jeanie Lang",2
"5221","Jeanne Antoinette Poisson Pompadour",2
"5222","Jeannette Marks",2
"5223","Jeff W. Hayes",2
"5224","Jefferson Davis",2
"5225","Jehan d'Ivray",2
"5226","Jennie Ellis Keysor",2
"5227","Jennie M. Drinkwater",2
"5228","Jenny P. d'Héricourt",2
"5229","Jens Peter Jacobsen",2
"5230","Jesse L. Hurlbut",2
"5231","Jessie Willcox Smith",2
"5232","Jia Wang",2
"5233","Jian Ren Wu",2
"5234","Jian Sou",2
"5235","Jim Wannamaker",2
"5236","Jing Wu",2
"5237","Joachim John Monteiro",2
"5238","Joan Maragall",2
"5239","Joaquim Carlos Paiva de Andrada",2
"5240","Joaquim Maria Machado de Assis",2
"5241","Joel Tyler Headley",2
"5242","Johan Huizinga",2
"5243","Johann Beckman",2
"5244","Johann Georg Zimmermann",2
"5245","Johann Ladislav Pyrker",2
"5246","Johann Ludwig Casper",2
"5247","Johannes Hendrik Been",2
"5248","Johannes Scotus",2
"5249","John  Ruskin",2
"5250","John A. Hobson",2
"5251","John A. Widtsoe",2
"5252","John Aikin",2
"5253","John Alexander Martin",2
"5254","John Alfred Gotch",2
"5255","John Aubrey",2
"5256","John Awdeley",2
"5257","John B. Alden",2
"5258","John B. Rathbun",2
"5259","John Bailey",2
"5260","John Barrett",2
"5261","John Bate",2
"5262","John Bates Clark",2
"5263","John Beauchamp Jones",2
"5264","John Bell Bouton",2
"5265","John Bennett",2
"5266","John Burnet",2
"5267","John Burns",2
"5268","John Butler Yeats",2
"5269","John C. van Dyke",2
"5270","John C. Van Dyke",2
"5271","John Charles Dent",2
"5272","John Charles Ryle",2
"5273","John Clark Ridpath",2
"5274","John Cleland",2
"5275","John Codman",2
"5276","John Collins Warren",2
"5277","John Cotton Dana",2
"5278","John D. Carrick",2
"5279","John Davies",2
"5280","John Dee",2
"5281","John Duncan",2
"5282","John Dunlop",2
"5283","John E. Remsburg",2
"5284","John Emerich Edward Dalberg-Acton",2
"5285","John Esten Cooke",2
"5286","John Evans",2
"5287","John Fisher",2
"5288","John Florio",2
"5289","John Foster West",2
"5290","John Fox, Jr.",2
"5291","John Frederic Herbin",2
"5292","John G. Wood",2
"5293","John Geddie",2
"5294","John George Bourinot",2
"5295","John Gerard",2
"5296","John Graham Bower",2
"5297","John Gregory Bourke",2
"5298","John H. White",2
"5299","John Hay",2
"5300","John Haynes Holmes",2
"5301","John Hayward",2
"5302","John Henderson",2
"5303","John Henry Jowett",2
"5304","John Henry Mackay",2
"5305","John Henry Shorthouse",2
"5306","John Henry Weeks",2
"5307","John Henry Worst",2
"5308","John Hill",2
"5309","John Horace Round",2
"5310","John Ironside",2
"5311","John Jakes",2
"5312","John K. Shellenberger",2
"5313","John Kelman",2
"5314","John L. Chapman",2
"5315","John L. Stephens",2
"5316","John Lewis",2
"5317","John Lloyd Stephens",2
"5318","John M'lean",2
"5319","John MacGillivray",2
"5320","John Maclean",2
"5321","John Mandeville",2
"5322","John Massie Davis",2
"5323","John McGovern",2
"5324","John Michael Sharkey",2
"5325","John Mills",2
"5326","John Mitchell Kemble",2
"5327","John Murray",2
"5328","John Murray Reynolds",2
"5329","John Nevins Andrews",2
"5330","John Newman",2
"5331","John Oldmixon",2
"5332","John Owen",2
"5333","John P. Kennedy",2
"5334","John Palmer",2
"5335","John Pentland Mahaffy",2
"5336","John Petch Hewby",2
"5337","John Price Jones",2
"5338","John R. Bolles",2
"5339","John R. Musick",2
"5340","John R. Watson",2
"5341","John Rhys",2
"5342","John S. Farmer",2
"5343","John Skinner",2
"5344","John Smith",2
"5345","John Snow",2
"5346","John Stuart Thomson",2
"5347","John T. Morse",2
"5348","John Thomson",2
"5349","John Todhunter",2
"5350","John Townsend Trowbridge",2
"5351","John Trotwood Moore",2
"5352","John Tulloch",2
"5353","John Turvill Adams",2
"5354","John Vanbrugh",2
"5355","John Vinycomb",2
"5356","John W Campbell",2
"5357","John W. Graham",2
"5358","John Webster",2
"5359","John William Burgon",2
"5360","John William Dawson",2
"5361","John Williams",2
"5362","John Wilson Townsend",2
"5363","Jonathan Carver",2
"5364","Jonathan Edwards",2
"5365","Jonathon Holt Ingraham",2
"5366","Jorge Camacho",2
"5367","Jorge de Abreu",2
"5368","Jos. E. Badger",2
"5369","Jos. Loopuit",2
"5370","José Echegaray",2
"5371","José Francisco de Isla",2
"5372","José María Salaverría",2
"5373","José Ortega y Gasset",2
"5374","Josef Julius Wecksell",2
"5375","Joseph Addison",2
"5376","Joseph Anderson",2
"5377","Joseph Bédier",2
"5378","Joseph Bruno Constantin Marie Kervyn de Lettenhove",2
"5379","Joseph Bushnell Ames",2
"5380","Joseph Butler",2
"5381","Joseph Clayton",2
"5382","Joseph Crosby Lincoln",2
"5383","Joseph Cross",2
"5384","Joseph Dautremer",2
"5385","Joseph Fielding Smith",2
"5386","Joseph Fielding Smith, Jr.",2
"5387","Joseph Grinnell",2
"5388","Joseph H. (Henry) Adams",2
"5389","Joseph Henri Honoré Boex",2
"5390","Joseph Krauskopf",2
"5391","Joseph Lewis",2
"5392","Joseph M. Wheeler",2
"5393","Joseph Mazzini Wheeler",2
"5394","Joseph Mills Hanson",2
"5395","Joseph Norman Lockyer",2
"5396","Joseph Pennell and Elizabeth Robins Pennell",2
"5397","Joseph Priestley",2
"5398","Joseph Shallit",2
"5399","Joseph Smith Fletcher",2
"5400","Joseph Victor von Scheffel",2
"5401","Joseph Wharton Lippincott",2
"5402","Joseph Woods",2
"5403","Josephine Chase",2
"5404","Josephine Diebitsch-Peary",2
"5405","Josephine Dodge Daskam",2
"5406","Josephine Franklin",2
"5407","Josephine Pollard",2
"5408","Josephine Scribner Gates",2
"5409","Joshua Rose",2
"5410","Josiah Blake Tidwell",2
"5411","Josiah Henson",2
"5412","József Eötvös",2
"5413","Juan Gonzalez de Mendoza",2
"5414","Juan Ortega Rubio",2
"5415","Judith Merril",2
"5416","Jules Amédée Barbey d'Aurevilly",2
"5417","Jules Bonnet",2
"5418","Jules Dumesnil",2
"5419","Jules Huret",2
"5420","Jules Lemaitre",2
"5421","Jules Lemaître",2
"5422","Jules Massenet",2
"5423","Jules Moinaux",2
"5424","Julia Augusta Schwartz",2
"5425","Julia Cartwright",2
"5426","Julia Corner",2
"5427","Julia Farr",2
"5428","Julian",2
"5429","Julian Chownitz",2
"5430","Julian Ralph",2
"5431","Julian, Emperor of Rome",2
"5432","Juliette Augusta Magill Kinzie",2
"5433","Julius Rosenbaum",2
"5434","Justin H. Smith",2
"5435","Justin McCarthy and Justin Huntly McCarthy",2
"5436","K. N. Rauhala",2
"5437","K. ten Bruggencate",2
"5438","Kaarle Halme",2
"5439","Kaarlo Asp",2
"5440","Kaarlo Bergbom",2
"5441","Kaarlo Forsman",2
"5442","Kálmán Thaly",2
"5443","Kapitein Marryat",2
"5444","Karel Capek",2
"5445","Karel Čapek",2
"5446","Karl Gjellerup",2
"5447","Karl Heinrich Caspari",2
"5448","Karl Josef Alfred Hedenstierna",2
"5449","Karl Otfried Mueller",2
"5450","Karl Otten",2
"5451","Károly Steinhofer",2
"5452","Katharine Haviland Taylor",2
"5453","Katharine Susannah Prichard",2
"5454","Katherine Atherton Grimes",2
"5455","Katherine Shortall",2
"5456","Kathleen Burke",2
"5457","Kathleen Gray Nelson",2
"5458","Kathlyn Rhodes",2
"5459","Kees Valkenstein",2
"5460","Kelemen Mikes",2
"5461","Kellogg Durland",2
"5462","Kempster Miller",2
"5463","Kendell Foster Crossen",2
"5464","Kenneth O'Hara",2
"5465","Kermit Roosevelt",2
"5466","Kersey Graves",2
"5467","King James I",2
"5468","Konrad Bercovici",2
"5469","Kostas Krystallis",2
"5470","Kris Ottman Neville",2
"5471","Krishna-Dwaipayana Vyasa",2
"5472","Kristian Elster",2
"5473","Kurt  Matull",2
"5474","Kurt Lange",2
"5475","Kurt Vonnegut",2
"5476","L. Adams Beck",2
"5477","L. Carroll Judson",2
"5478","L. H. Bailey",2
"5479","L. J. Stecher",2
"5480","L. Major Reynolds",2
"5481","L. Muehlbach",2
"5482","L. P. (Louis Pope) Gratacap",2
"5483","L. P. Gratacap",2
"5484","L. Penning",2
"5485","L. Ron Hubbard",2
"5486","L. W. Rogers",2
"5487","laboratory. Katherine H.",2
"5488","Lady Anne Hamilton",2
"5489","Lady Augusta Gregory",2
"5490","Lady Katie Magnus",2
"5491","Lady Wallace",2
"5492","Lajos Kálmány",2
"5493","Lajos Kuthy",2
"5494","Larry M. Harris",2
"5495","Lascelles Abercrombie",2
"5496","Lassa Francis Oppenheim",2
"5497","László Arany",2
"5498","Laura Marholm Hansson",2
"5499","Laure Conan",2
"5500","Laurence Mark Janifer",2
"5501","Laurence Mark Janifer (AKA Larry M. Harris)",2
"5502","Lauri Hannikainen",2
"5503","Lawrence Fletcher",2
"5504","leader. Jane Werner, adapter:",2
"5505","Lebbeus Mitchell",2
"5506","Legh Richmond",2
"5507","Leigh Richmond",2
"5508","Lenwood Ballard Carson",2
"5509","Leo E. Miller",2
"5510","Leo Edwards",2
"5511","Léo Larguier",2
"5512","Leon H. Vincent",2
"5513","Léon Louis Lucien Prunol de Rosny",2
"5514","Leon Trotzky",2
"5515","Leonard William King",2
"5516","Leonard Woolf",2
"5517","Leonid Nikolayevich Andreyev",2
"5518","Leonora Blanche Lang",2
"5519","Leonora Christina Ulfeldt",2
"5520","Leopold Ritter von Sacher-Masoch",2
"5521","Leopold von Ranke",2
"5522","Letitia M. Burwell",2
"5523","Lev Shestov",2
"5524","Lewis B. France",2
"5525","Lewis E. (Lewis Edwin) Theiss",2
"5526","Lewis F. Day",2
"5527","Lewis Hough",2
"5528","Lewis Madison Terman",2
"5529","Liang Zhu Ge",2
"5530","Lieutenant James R. Driscoll",2
"5531","Lily Munsell Ritchie",2
"5532","Linda Trueb",2
"5533","Lingyan Qiaozi jiaokan",2
"5534","Lion Feuchtwanger",2
"5535","Lizette M. Edholm",2
"5536","Lizzie Doten",2
"5537","Lizzie E. Cotton",2
"5538","Lodewijk van Deyssel",2
"5539","Logan Pearsall Smith",2
"5540","Lois Bates",2
"5541","Lord Acton",2
"5542","Lord Max Aitken Beaverbrook",2
"5543","Lou Andreas-Salomé",2
"5544","Louis-Frédéric Rouquette",2
"5545","Louis A. Barbé",2
"5546","Louis Aubrey Wood",2
"5547","Louis Biancolli",2
"5548","Louis Chadourne",2
"5549","Louis Dodge",2
"5550","Louis Fagan",2
"5551","Louis Pergaud",2
"5552","Louis Ulbach",2
"5553","Louis Untermeyer",2
"5554","Louise Chandler Moulton",2
"5555","Louise Colet",2
"5556","Louise Lamprey",2
"5557","Louise Vescelius-Sheldon",2
"5558","Louwrens Penning",2
"5559","Lucian of Samosata",2
"5560","Luciano Zuccoli",2
"5561","Lucien Wolf",2
"5562","Lucio Mansilla",2
"5563","Lucius Daniel",2
"5564","Lucius Seneca",2
"5565","Ludovico Antonio Muratori",2
"5566","Ludvig Mylius-Erichsen",2
"5567","Ludwig Rellstab",2
"5568","Ludwig von Beethoven",2
"5569","Luigi Amabile",2
"5570","Luigi Gualdo",2
"5571","Luis G. Urbina",2
"5572","Luiz Couceiro",2
"5573","Luke Allan",2
"5574","Luna May Innes",2
"5575","Lycurgus A. Wilson",2
"5576","Lydia Howard Sigourney",2
"5577","Lydia Leavitt",2
"5578","M. A. Cummings",2
"5579","M. A. Titmarsh",2
"5580","M. Dale Arvey",2
"5581","M. E. Hume-Griffith",2
"5582","M. E. W. Sherwood",2
"5583","M. M. Pattison Muir",2
"5584","M. R. James",2
"5585","M. Y. Halidom (pseud. Dryasdust)",2
"5586","M.F and B. McM. Mansfield",2
"5587","M.H. Van Campen",2
"5588","M.P. Shiel",2
"5589","Madame de Cambon",2
"5590","Madame de Duras",2
"5591","Madame Guizot",2
"5592","Madame Leprohon",2
"5593","Mademoiselle Mars",2
"5594","Madison Julius Cawein",2
"5595","Magnus Ludens",2
"5596","Maikki Friberg",2
"5597","Malcolm B. Morehart",2
"5598","Manfred Georg",2
"5599","Manuel Chaves",2
"5600","Marc Elder",2
"5601","Marcel Prévost",2
"5602","Marcelle Tinayre",2
"5603","Marco Polo",2
"5604","Marcus Aurelius Antoninus",2
"5605","Margaret Brown",2
"5606","Margaret Brown Klapthor",2
"5607","Margaret Collier Graham",2
"5608","Margaret E. Sangster",2
"5609","Margaret Fuller",2
"5610","Margaret Love Sanderson",2
"5611","Margaret Rebecca Piper",2
"5612","Margaret Robertson",2
"5613","Margaret Sanger",2
"5614","Margaret Sherwood",2
"5615","Margaret Veley",2
"5616","Margaret Wilson",2
"5617","Margit Kaffka",2
"5618","Marguerite Henry",2
"5619","Maria J. McIntosh",2
"5620","Maria Louise Ramé",2
"5621","Maria R. Audubon",2
"5622","Maria Weston Chapman",2
"5623","Marie-Madeleine de La Fayette",2
"5624","Marie Bashkirtseff",2
"5625","Marie C. Stopes",2
"5626","Marie E. Zakrzewska",2
"5627","Marie Irish",2
"5628","Marie L. Shedlock",2
"5629","Marie von Ebner-Eschenbach",2
"5630","Marion Florence Lansing",2
"5631","Marion Harris Neil",2
"5632","Marion I. Newbigin",2
"5633","Marjorie L. C. Pickthall",2
"5634","Mark Hopkins",2
"5635","Mark Lee Luther",2
"5636","Mark Overton",2
"5637","Marmaduke Park",2
"5638","Marques Gomes",2
"5639","Martha Morton",2
"5640","Martial d'Auvergne",2
"5641","Martin Dobrizhoffer",2
"5642","Martin Johnson",2
"5643","Martin Swayne",2
"5644","Martinez de Zuniga",2
"5645","Marvin Dana",2
"5646","Mary Astell",2
"5647","Mary Brunton",2
"5648","Mary C. Sturgeon",2
"5649","Mary De Morgan",2
"5650","Mary Diana Dods",2
"5651","Mary E. Waller",2
"5652","Mary Edward Feehan",2
"5653","Mary Ellen Chase",2
"5654","Mary Finley Leonard",2
"5655","Mary Graham Bonner",2
"5656","Mary Hallock Foote",2
"5657","Mary Macgregor",2
"5658","Mary MacGregor",2
"5659","Mary Newton Stanard",2
"5660","Mary Parmele",2
"5661","Mary Ronald",2
"5662","Mary Stewart Daggett",2
"5663","Mary Stuart Boyd",2
"5664","Mary White",2
"5665","Massimo Bontempelli",2
"5666","masters. Jacques Maroger, editor:",2
"5667","materials against the carefully suppressing the source of his",2
"5668","Mathilde Blind",2
"5669","Matteo Maria Boiardo",2
"5670","Matthew Flinders",2
"5671","Matthew Turner",2
"5672","Matthias F. Cowley",2
"5673","Matti Aikio",2
"5674","Maud C. Cooke",2
"5675","Maurice Barrès",2
"5676","Maurice Bouchor",2
"5677","Maurice Clouard",2
"5678","Maurice Fleury",2
"5679","Maurice LeBlanc",2
"5680","Maurice Level",2
"5681","Max Adeler",2
"5682","Max Bauer",2
"5683","Max Geitel",2
"5684","Max Heindel",2
"5685","Max Kemmerich",2
"5686","Max Neuburger",2
"5687","Max Wilhelm Meyer",2
"5688","Maxime de La Rocheterie",2
"5689","Maxime Gorky",2
"5690","May Baldwin",2
"5691","May Kellogg Sullivan",2
"5692","May Wentworth",2
"5693","May Wynne",2
"5694","Mei Yuan",2
"5695","Melvin Sturgis",2
"5696","Meng Chu Ling",2
"5697","Merle d'Aubigne",2
"5698","Merrill J. Mattes",2
"5699","Methuen & Co.",2
"5700","Methuen & Company",2
"5701","Michael Arlen",2
"5702","Michael Barrett",2
"5703","Michael Drayton",2
"5704","Michael Field",2
"5705","Michael MacDonagh",2
"5706","Michael Myers Shoemaker",2
"5707","Michael Scott",2
"5708","Michael Wigglesworth",2
"5709","Michail Kusmin",2
"5710","Michele Lessona",2
"5711","Miguel Cervantes Saavedra",2
"5712","Miguel De Unamuno",2
"5713","Miguel J. T. Mascarenhas",2
"5714","Mihály Babits",2
"5715","Mikael Sand",2
"5716","Mikhail Iurevich Lermontov",2
"5717","Miklós Bánffy",2
"5718","Miklós Jósika",2
"5719","Mildred Anna Rosalie Tuker",2
"5720","Miles Franklin",2
"5721","Milo Milton Oblinger",2
"5722","minerals. Charles Edmund",2
"5723","Mingjiaozhongren",2
"5724","Ministry of Education",2
"5725","Miriam Spier, introd: Peggy Lee.",2
"5726","Miss (Julia) Pardoe",2
"5727","Miss Lambert",2
"5728","Molière",2
"5729","Mona Caird",2
"5730","Montague Rhodes James",2
"5731","Moritz Busch",2
"5732","Moritz Karasowski",2
"5733","Moritz von Prittwitz",2
"5734","Morris Jastrow",2
"5735","Mother St. Paul",2
"5736","Moyle Sherer",2
"5737","Mr Eden Phillpotts writes of the ""The things seen are brilliantly",2
"5738","Mrs [Margaret] Oliphant",2
"5739","Mrs George de Horne Vaizey",2
"5740","Mrs. Alfred Sidgwick",2
"5741","Mrs. Aubrey Le Blond",2
"5742","Mrs. Burton Harrison",2
"5743","Mrs. C. N. Williamson",2
"5744","Mrs. G. de Horne Vaizey",2
"5745","Mrs. Inchbald",2
"5746","Mrs. Jameson",2
"5747","Mrs. John King Van Rensselaer",2
"5748","Mrs. Lawrence Turnbull",2
"5749","Mrs. O. F. Walton",2
"5750","Mrs. Russell Barrington",2
"5751","Mrs. Schuyler Crowninshield",2
"5752","Mrs. Woods Baker",2
